,name,lng,lat
0,Aleja Bielany,51.048332,16.960160000000002
1,Aleja Hallera - Mielecka,51.089356,17.001061
2,Aleja Kromera,51.132833000000005,17.065654000000002
3,Bacciarellego,51.10351,17.114487
4,Bacciarellego - pętla autobusowa,51.102301000000004,17.116356
5,Bardzka - Piękna,51.085218,17.048482999999997
6,Bałtycka - Żmigrodzka,51.139829,17.032705
7,Berenta - Kasprowicza,51.138690999999994,17.059815
8,Bezpieczna - Obornicka,51.141671,17.026285
9,Boguszowska - Kosmonautów,51.143921,16.889872
10,Borowska (Uniw. Szpital Kliniczny),51.074422,17.030970999999997
11,Buforowa - Vivaldiego,51.056171,17.057259
12,Bystrzycka - Idzikowskiego,51.126526,16.954624
13,Centrum Handlowe Auchan Bielany,51.053396,16.971785
14,Czekoladowa - Wałbrzyska,51.047067999999996,16.95721
15,Drobnera - Dubois,51.116737,17.033555
16,Drobnera - Plac Bema,51.117021,17.042163000000002
17,Drzewieckiego - Dedala,51.126044,16.9685
18,Dworzec Główny,51.098760999999996,17.036521
19,Dworzec Główny - południe,51.098760999999996,17.036521
20,Dyrekcyjna - Borowska (Wroclavia),51.094988,17.032866000000002
21,Fabryczna - Wagonowa,51.112338,16.988766000000002
22,Fabryczna  (WSB),51.11296,16.981661
23,Fosa Miejska,51.108142,17.042089
24,Gliniana - Gajowa,51.091722,17.04042
25,Gorlicka - Litewska,51.141631,17.123732
26,Grabiszyńska - Aleja Hallera,51.094516,16.980204
27,Grabiszyńska - Magazynierska (Corte Verona),51.09599,16.988189000000002
28,Grabiszyńska - Stalowa,51.099517999999996,17.001193
29,Graniczna - Strzegomska,51.108796000000005,16.915927
30,Grochowa - Jemiołowa -,51.095379,17.007788
31,Grota-Roweckiego - Parafialna,51.066334000000005,17.033278
32,Hallera - Odkrywców,51.091669,16.986062
33,Hermanowska - Kołobrzeska,51.123670000000004,16.950611
34,Hubska - Prudnicka,51.089545,17.044906
35,Jagiełły - Dmowskiego,51.116806,17.024476999999997
36,Jagodzińska - Buforowa,51.058368,17.057318
37,Janiszewskiego (PWr),51.109153000000006,17.060364
38,Jedności Narodowej - Wyszyńskiego,51.128383,17.055035999999998
39,Jerzmanowska,51.124389,16.888575
40,Joliot-Curie (Uwr),51.110896000000004,17.053273
41,Kamienna - Borowska (Aquapark),51.091066,17.032278
42,Kamienna - Tomaszowska,51.087889,17.038932
43,Kamieńskiego - Jutrosińska,51.147,17.042177
44,Karwińska - Opolska,51.081881,17.077476
45,Kasprowicza - Syrokomli,51.137259,17.048281
46,Kazimierza Wielkiego (Helios),51.109446000000005,17.026367
47,Kiełczowska,51.145917,17.133
48,Klecińska - Duńska,51.109666,16.96882
49,Komandorska - Kamienna,51.089862,17.023574
50,Komandorska - Sanocka,51.094594,17.026839000000002
51,Konduktorska,51.064879,17.065862
52,Kosmonautów - Fieldorfa - szpital wojewódzki,51.144154,16.907595999999998
53,Kosmonautów - Glinianki - WUWA2,51.139671,16.933343
54,Koszarowa - UWr,51.140941999999995,17.069172000000002
55,Kozanowska - Pilczycka,51.132354,16.973354999999998
56,Kołłątaja - Podwale,51.103982,17.037219
57,Kościuszki - Komuny Paryskiej - Zgodna,51.098948,17.05106
58,Kościuszki - Pułaskiego,51.099810999999995,17.045436
59,Krakowska - Leroy Merlin,51.089776,17.062561
60,Kraszewskiego - Trzebnicka,51.128375,17.036675
61,Krucza - Mielecka - Stalowa,51.093412,17.003764999999998
62,Krzycka - Aleja Karkonoska (Park Południowy),51.075531,17.010487
63,Krzywoustego - Korona,51.14225,17.087622
64,Krzywoustego - Rynek Psie Pole,51.14589,17.112374
65,Księgarska - Dekarska - Zduńska,51.177440000000004,17.015876000000002
66,Kurkowa - Dubois,51.117883,17.027992
67,Legnicka (Park Magnolia),51.119167,16.988611
68,Legnicka - Młodych Techników,51.11298,17.011774
69,Legnicka - Wejherowska,51.12522,16.984048
70,Legnicka - Zachodnia,51.116938,17.000218
71,Leśnica - pętla tramwajowa,51.145517,16.871830
72,Lotnicza - Bajana,51.130705999999996,16.96637
73,Lotnicza - Metalowców,51.132785,16.956791
74,Lotnicza - Na Ostatnim Groszu,51.126694,16.979678
75,Marca Polo (Olimpia Port),51.110477,17.118013
76,Maślicka - Stodolna,51.157633000000004,16.928037
77,Mickiewicza - pętla tramwajowa,51.113969,17.103862
78,Miłoszycka - Swojczycka,51.119009999999996,17.12267
79,Mińska - stanisławowska,51.099153,16.940916
80,Mościckiego (stacja kolejowa),51.064335,17.08426
81,Mościckiego - Chińska,51.058911,17.087216
82,Mrągowska - Rolna,51.149606,16.938213
83,Młodych Techników,51.116392,17.012762
84,Młynarska-Wąska,51.119671000000004,17.031387
85,Na Grobli (PWr - Geocentrum),51.104577,17.054382999999998
86,Na Ostatnim Groszu,51.123011,16.975548999999997
87,Norwida - Wyspiańskiego (PWr),51.107341999999996,17.061795999999998
88,Nowowiejska - Górnickiego,51.118728000000004,17.058332
89,Nowowiejska - Jedności Narodowej,51.124738,17.045497
90,Nowowiejska - Wyszyńskiego,51.12218,17.052391
91,Nyska - Jesionowa,51.087218,17.051367000000003
92,Nyska - Piękna,51.085021999999995,17.053178
93,Obornicka - Bałtycka,51.137485,17.02981
94,Okulickiego,51.170415000000006,17.131615
95,Olszewskiego - Spółdzielcza,51.102104,17.102104
96,Olszewskiego - pętla tramwajowa,51.101518,17.108577
97,Opolska - Siemianowicka,51.071135,17.090939000000002
98,Opolska - pętla tramwajowa,51.073301,17.088672
99,Oporów (pętla tramwajowa),51.08413,16.972012
100,Osobowicka - Ostrowska,51.14397,16.987623000000003
101,Osobowicka - pętla tramwajowa,51.13756,16.994193
102,Paprotna - Obornicka - zajezdnia MPK,51.148727,17.022253
103,Partyzantów - Okrzei,51.109407,17.09786
104,Pereca - Grabiszyńska,51.101199,17.008541
105,Piaskowa - św. Ducha,51.113134,17.03947
106,Pilczycka (Stadion Miejski),51.141217,16.943794
107,Pilczycka - Koszykarska,51.140669,16.958029
108,Pilczycka - Kozanowska,51.132354,16.973354999999998
109,Plac Dominikański (Galeria Dominikańska),51.108014000000004,17.040789999999998
110,Plac Grunwaldzki (DS Ołówek),51.114098999999996,17.067557
111,Plac Grunwaldzki - Polaka,51.112337,17.062745
112,Plac Jana Pawła II (Akademia Muzyczna),51.111022999999996,17.021313
113,Plac Kościuszki (Renoma),51.103544,17.031901
114,Plac Legionów,51.104405,17.02338
115,Plac Powstańców Warszawy (Muzeum Narodowe),51.110879,17.047646
116,Plac Powstańców Śląskich,51.089490000000005,17.015583
117,Plac Staszica,51.123727,17.029633
118,Plac Strzegomski - Poznańska,51.113427,17.006239
119,Plac Uniwersytecki (UWr),51.114005,17.034463
120,Plac Świętego Macieja - Trzebnicka,51.12065,17.036509
121,Poleska - Litewska,51.142008000000004,17.127019
122,Poniatowskiego - Oleśnicka,51.121321,17.043397
123,Popowice,51.126858,16.986331
124,Popowicka,51.128329,16.989946
125,Popowicka - Niedźwiedzia,51.12538,16.997370999999998
126,Powstańcow Śląskich - Aleja Hallera,51.086203000000005,17.012163
127,Powstańców Śląskich (Arkady Wrocławskie),51.099443,17.028921
128,Prochowicka - Dolnobrzeska,51.151165,16.865420999999998
129,Promenady Wrocławskie,51.130538,17.044302
130,Przyjaźni,51.067046000000005,16.99616
131,Przyjaźni - Karkonoska,51.068191,17.004075
132,Racławicka - Rymarska,51.07951,16.987876
133,Radeckiego - Marcinkowskiego (Uniw. Medyczny - CNIM),51.111781,17.06875
134,Reymonta - Kleczkowska,51.127008000000004,17.027783
135,Robotnicza - Fabryczna,51.111962,16.999548
136,Rogowska - Zemska,51.11578,16.947179000000002
137,Rondo Reagana,51.11185,17.060064
138,Rynek,51.110699,17.032366
139,Semaforowa,51.061315,17.079764
140,Sienkiewicza - Piastowska,51.115809000000006,17.060865
141,Sienkiewicza - Wyszyńskiego,51.116799,17.051385
142,Skarbowców - Wietrzna,51.073293,16.994730999999998
143,Solskiego - al. Piastów,51.077248,16.963286
144,Sołtysowicka - Redycka,51.149044,17.075579
145,Stabłowicka,51.164281,16.8971
146,Stabłowicka - Główna,51.163349,16.896297
147,Stacyjna (Dworzec Mikołajów),51.115243,16.998519
148,Stadion Olimpijski,51.119452,17.096475
149,Strachocińska - Wieśniacza,51.106894,17.142837
150,Strachowskiego - Parafialna,51.057008,17.022492
151,Strzegomska - Estońska,51.112125,16.960254
152,Strzegomska - Rogowska,51.110092,16.955434
153,Szczęśliwa (Sky Tower),51.094481,17.019594
154,Szewska - Kazimierza Wielkiego,51.107273,17.033485
155,Tarnogajska - Klimasa,51.080412,17.06235
156,Traktatowa (przystanek kolejowy),51.111669,16.974196
157,Traugutta - Kościuszki,51.097184000000006,17.056022
158,Traugutta - Pułaskiego,51.104557,17.048582
159,Trymanda - Mińska,51.103313,16.945871
160,Tyrmanda - Trawowa,51.100095,16.951719
161,Waniliowa - Cynamonowa,51.175968,16.998719
162,Wałbrzyska - pętla tramwajowa,51.064218,16.978548
163,Wilanowska,51.15529,17.133334
164,Wita Stwosza - Szewska,51.110252,17.034712
165,Wojanowska - Arbuzowa,51.154378,16.898641
166,Wrocław Leśnica - stacja kolejowa,51.142994,16.866611
167,Wrocław Stadion - stacja kolejowa,51.137161,16.940623000000002
168,Wróblewskiego (Teki),51.103539000000005,17.085639
169,Wróblewskiego (ZOO),51.104126,17.074197
170,Wyszyńskiego - Szczytnicka,51.113927000000004,17.050524
171,Zachodnia - Poznańska,51.117381,17.007184
172,Zaporoska - Gajowicka,51.097288,17.014321
173,Zaporoska - Grabiszyńska,51.102221,17.013382999999997
174,Zaporoska - Wielka - Krucza,51.096596000000005,17.014872
175,Zatorska - Królewska - pętla MPK,51.16035,17.133834
176,Zwycięska - Agrestowa,51.058440000000004,17.014397
177,Zwycięska - Ołtaszyńska,51.060148,17.004175
178,al. Armii Krajowej - Bardzka,51.083118,17.049067
179,al. Armii Krajowej - Borowska,51.083106,17.035009
180,al. Armii Krajowej - Tarnogajska,51.083746999999995,17.06116
181,al. Brücknera - Kwidzyńska,51.131659,17.078879
182,al. Jana III Sobieskiego - stacja kolejowa,51.098760999999996,17.036521
183,al. Karkonoska - Jeździecka,51.061445,16.996538
184,al. Kochanowskiego - Kopernika,51.12018,17.077047
185,al. Kochanowskiego - Śniadeckich,51.120166,17.077492000000003
186,al. Poprzeczna - stacja kolejowa,51.1422,17.083
187,pl. Orląt Lwowskich,51.108894,17.01941
188,pl. Powstańców Wielkopolskich,51.124790000000004,17.034810999999998
189,Łukasiewicza - Smoluchowskiego (PWr),51.107341999999996,17.061795999999998
190,Ślężna - Aleja Wiśniowa,51.083806,17.025047
191,Ślężna - Kamienna (Uniw. Ekonomiczny),51.090458,17.024462
192,Ślężna - Skierniewicka,51.076778000000004,17.018105
193,Ślężna - pętla tramwajowa,51.089265999999995,17.02968
194,Średzka - Dolnobrzeska,51.145829,16.867231
195,Śrubowa - Strzegomska,51.113085999999996,17.001197
196,Świdnicka - Piłsudskiego (Hotel Scandic),51.101353,17.027948000000002
197,Świeradowska (Ferio Gaj ),51.076315,17.042002
198,Świeradowska - Krynicka,51.076985,17.047129
199,Żelazna - Pereca,51.098058,17.007049
200,Żernicka,51.122551,16.930101999999998
201,Żeromskiego - Daszyńskiego,51.125443,17.050309
202,Żeromskiego - Kluczborska,51.12246,17.047759
203,Żmigrodzka - Broniewskiego,51.135851,17.036645999999998
204,Żmigrodzka - Marino,51.151616,17.027542999999998
