node,degree,in_degree,out_degree,pagerank,interval_start,interval_end
18,2,1,1,0.031163961590191188,2019-03-11 21:15:00,2019-03-11 21:30:00
18,2,1,1,0.031163961590191188,2019-03-11 21:30:00,2019-03-11 21:45:00
18,2,1,1,0.031163961590191188,2019-03-11 21:45:00,2019-03-11 22:00:00
18,2,1,1,0.031163961590191188,2019-03-11 22:00:00,2019-03-11 22:15:00
195,8,4,4,0.031163961590191188,2019-03-15 10:15:00,2019-03-15 10:30:00
18,2,2,0,0.007959870053921783,2019-03-15 10:30:00,2019-03-15 10:45:00
195,10,4,6,0.011087460950228539,2019-03-15 10:30:00,2019-03-15 10:45:00
18,2,1,1,0.031163961590191188,2019-03-15 10:45:00,2019-03-15 11:00:00
18,3,1,2,0.008403129969889143,2019-03-15 11:00:00,2019-03-15 11:15:00
58,1,1,0,0.008403129969889143,2019-03-15 11:00:00,2019-03-15 11:15:00
18,2,0,2,0.00462493300539134,2019-03-15 11:15:00,2019-03-15 11:30:00
58,4,3,1,0.056513666900167014,2019-03-15 11:15:00,2019-03-15 11:30:00
58,4,1,3,0.006755947244787761,2019-03-15 11:30:00,2019-03-15 11:45:00
108,2,2,0,0.008661735290240702,2019-03-15 11:30:00,2019-03-15 11:45:00
58,2,0,2,0.00462493300539134,2019-03-15 11:45:00,2019-03-15 12:00:00
108,6,4,2,0.056513666900167014,2019-03-15 11:45:00,2019-03-15 12:00:00
108,6,3,3,0.031163961590191188,2019-03-15 12:00:00,2019-03-15 12:15:00
108,2,0,2,0.004857906588702999,2019-03-15 12:15:00,2019-03-15 12:30:00
195,2,2,0,0.008987055904586403,2019-03-15 12:15:00,2019-03-15 12:30:00
195,2,1,1,0.031163961590191188,2019-03-15 13:30:00,2019-03-15 13:45:00
113,2,2,0,0.008987055904586403,2019-03-18 13:00:00,2019-03-18 13:15:00
195,2,0,2,0.004857906588702999,2019-03-18 13:00:00,2019-03-18 13:15:00
113,4,2,2,0.031163961590191188,2019-03-18 13:15:00,2019-03-18 13:30:00
46,4,2,2,0.008918651314884705,2019-03-18 13:30:00,2019-03-18 13:45:00
111,2,0,2,0.004821022333877474,2019-03-18 13:30:00,2019-03-18 13:45:00
137,2,2,0,0.012413814907984053,2019-03-18 13:30:00,2019-03-18 13:45:00
118,1,1,0,0.008987055904586403,2019-03-18 13:45:00,2019-03-18 14:00:00
137,1,0,1,0.004857906588702999,2019-03-18 13:45:00,2019-03-18 14:00:00
118,2,0,2,0.004857906588702999,2019-03-18 14:00:00,2019-03-18 14:15:00
163,2,2,0,0.008987055904586403,2019-03-18 14:00:00,2019-03-18 14:15:00
163,2,1,1,0.031163961590191188,2019-03-18 14:15:00,2019-03-18 14:30:00
153,1,1,0,0.008987055904586403,2019-03-18 14:45:00,2019-03-18 15:00:00
195,1,0,1,0.004857906588702999,2019-03-18 14:45:00,2019-03-18 15:00:00
153,1,1,0,0.008987055904586403,2019-03-18 15:00:00,2019-03-18 15:15:00
195,1,0,1,0.004857906588702999,2019-03-18 15:00:00,2019-03-18 15:15:00
115,1,1,0,0.008987055904586403,2019-03-18 15:15:00,2019-03-18 15:30:00
153,1,0,1,0.004857906588702999,2019-03-18 15:15:00,2019-03-18 15:30:00
115,3,2,1,0.056513666900167014,2019-03-18 15:30:00,2019-03-18 15:45:00
153,1,0,1,0.00462493300539134,2019-03-18 15:30:00,2019-03-18 15:45:00
115,2,1,1,0.03103880199262298,2019-03-18 15:45:00,2019-03-18 16:00:00
126,1,0,1,0.004730099271074233,2019-03-18 15:45:00,2019-03-18 16:00:00
195,1,1,0,0.008751045979315475,2019-03-18 15:45:00,2019-03-18 16:00:00
126,1,0,1,0.004857906588702999,2019-03-18 16:00:00,2019-03-18 16:15:00
195,1,1,0,0.008987055904586403,2019-03-18 16:00:00,2019-03-18 16:15:00
70,1,1,0,0.008987055904586403,2019-03-19 10:30:00,2019-03-19 10:45:00
118,1,0,1,0.004857906588702999,2019-03-19 10:30:00,2019-03-19 10:45:00
70,1,1,0,0.008987055904586403,2019-03-19 10:45:00,2019-03-19 11:00:00
118,1,0,1,0.004857906588702999,2019-03-19 10:45:00,2019-03-19 11:00:00
67,1,1,0,0.012413814907984053,2019-03-19 11:00:00,2019-03-19 11:15:00
70,2,1,1,0.008918651314884705,2019-03-19 11:00:00,2019-03-19 11:15:00
118,1,0,1,0.004821022333877474,2019-03-19 11:00:00,2019-03-19 11:15:00
108,1,0,1,0.004857906588702999,2019-03-19 11:30:00,2019-03-19 11:45:00
111,1,1,0,0.008987055904586403,2019-03-19 11:30:00,2019-03-19 11:45:00
23,1,1,0,0.008987055904586403,2019-03-19 11:45:00,2019-03-19 12:00:00
