Source,Target,Weight,Type
0,1,24,Directed
0,2,12,Directed
0,3,3,Directed
0,4,4,Directed
0,5,3,Directed
0,6,9,Directed
0,7,11,Directed
0,8,5,Directed
0,9,2,Directed
0,10,6,Directed
0,11,2,Directed
0,13,6,Directed
0,14,7,Directed
0,15,30,Directed
0,16,6,Directed
0,17,1,Directed
0,18,4,Directed
0,19,10,Directed
0,20,2,Directed
0,21,7,Directed
0,22,5,Directed
0,23,2,Directed
0,25,4,Directed
0,26,4,Directed
0,27,2,Directed
0,28,16,Directed
0,31,2,Directed
0,32,5,Directed
0,33,2,Directed
0,34,3,Directed
0,35,6,Directed
0,36,4,Directed
0,38,5,Directed
0,39,1,Directed
0,40,11,Directed
0,41,3,Directed
0,43,3,Directed
0,45,3,Directed
0,46,4,Directed
0,50,1,Directed
0,51,3,Directed
0,52,5,Directed
0,53,1,Directed
0,54,1,Directed
0,56,2,Directed
0,57,2,Directed
0,58,3,Directed
0,59,5,Directed
0,61,4,Directed
0,63,4,Directed
0,66,4,Directed
0,67,1,Directed
0,69,2,Directed
0,71,14,Directed
0,75,3,Directed
0,77,1,Directed
0,78,4,Directed
0,81,1,Directed
0,83,1,Directed
0,84,4,Directed
0,87,1,Directed
0,89,5,Directed
0,94,2,Directed
0,95,1,Directed
1,0,11,Directed
1,2,38,Directed
1,3,33,Directed
1,4,10,Directed
1,5,10,Directed
1,6,32,Directed
1,7,20,Directed
1,8,13,Directed
1,9,7,Directed
1,10,12,Directed
1,13,7,Directed
1,14,4,Directed
1,15,10,Directed
1,16,17,Directed
1,18,5,Directed
1,19,53,Directed
1,20,5,Directed
1,22,30,Directed
1,23,10,Directed
1,24,14,Directed
1,25,8,Directed
1,26,3,Directed
1,27,5,Directed
1,28,3,Directed
1,29,4,Directed
1,30,13,Directed
1,31,4,Directed
1,32,29,Directed
1,33,1,Directed
1,34,2,Directed
1,35,4,Directed
1,36,10,Directed
1,37,7,Directed
1,38,4,Directed
1,39,11,Directed
1,40,1,Directed
1,41,14,Directed
1,42,5,Directed
1,43,19,Directed
1,44,6,Directed
1,45,12,Directed
1,46,5,Directed
1,47,10,Directed
1,49,5,Directed
1,50,1,Directed
1,52,8,Directed
1,53,1,Directed
1,56,5,Directed
1,57,2,Directed
1,58,7,Directed
1,59,6,Directed
1,60,3,Directed
1,61,1,Directed
1,62,7,Directed
1,63,6,Directed
1,64,12,Directed
1,66,10,Directed
1,67,4,Directed
