name,value
Świdnicka / Piłsudskiego (Hotel Scandic),0
Dworzec Główny ,1
Kościuszki / Pułaskiego,2
Plac Dominikański (Galeria Dominikańska),3
Plac Jana Pawła II (Akademia Muzyczna),4
Kazimierza Wielkiego (Helios),5
Rynek,6
Plac Uniwersytecki (UWr),7
Wita Stwosza / Szewska,8
Szewska / Kazimierza Wielkiego ,9
Powstańców Śląskich (Arkady Wrocławskie),10
Legnicka / Zachodnia ,11
Stacyjna (Dworzec Mikołajów),12
"Dworzec Główny, południe",13
Grabiszyńska / Aleja Hallera,14
Szczęśliwa (Sky Tower),15
Drobnera / Plac Bema,16
Grabiszyńska / Magazynierska (Corte Verona),17
Legnicka / Młodych Techników,18
Kościuszki / Komuny Paryskiej / Zgodna,19
Nowowiejska / Górnickiego,20
Aleja Hallera / Mielecka,21
Rondo Reagana,22
Sienkiewicza / Wyszyńskiego,23
Traugutta / Pułaskiego,24
Zaporoska / Grabiszyńska,25
Zaporoska / Gajowicka,26
Plac Świętego Macieja / Trzebnicka,27
Powstańcow Śląskich / Aleja Hallera,28
Żeromskiego / Daszyńskiego,29
Nowowiejska / Wyszyńskiego,30
Jagiełły / Dmowskiego ,31
Ślężna / Kamienna (Uniw. Ekonomiczny),32
Wałbrzyska - pętla tramwajowa,33
Żelazna / Pereca,34
Grabiszyńska / Stalowa,35
Fosa Miejska ,36
Plac Grunwaldzki (DS Ołówek),37
Plac Powstańców Śląskich,38
Wyszyńskiego / Szczytnicka,39
Krzycka / Aleja Karkonoska (Park Południowy),40
Traugutta / Kościuszki,41
Sienkiewicza / Piastowska,42
Plac Grunwaldzki / Polaka,43
Łukasiewicza / Smoluchowskiego (PWr),44
Wróblewskiego (Teki),45
Dyrekcyjna / Borowska (Wroclavia),46
Plac Powstańców Warszawy (Muzeum Narodowe),47
Strzegomska / Estońska,48
Nowowiejska / Jedności Narodowej,49
Zachodnia / Poznańska,50
Buforowa - Vivaldiego,51
Świeradowska (Ferio Gaj ),52
Legnicka (Park Magnolia),53
Oporów (pętla tramwajowa),54
Zatorska / Królewska - pętla MPK,55
Żmigrodzka / Broniewskiego,56
Aleja Kromera,57
Pereca / Grabiszyńska,58
Borowska (Uniw. Szpital Kliniczny),59
Krzywoustego - Rynek Psie Pole,60
Krucza / Mielecka / Stalowa,61
Poniatowskiego / Oleśnicka,62
Drobnera / Dubois,63
Wróblewskiego (ZOO),64
Pilczycka / Kozanowska,65
Kamienna / Borowska (Aquapark),66
Na Grobli (PWr - Geocentrum),67
Norwida / Wyspiańskiego (PWr),68
Legnicka / Wejherowska,69
Lotnicza / Na Ostatnim Groszu,70
Plac Legionów,71
Fabryczna  (WSB),72
Zwycięska / Ołtaszyńska,73
Marca Polo (Olimpia Port),74
Bardzka / Piękna,75
Żeromskiego / Kluczborska,76
Ślężna / Aleja Wiśniowa,77
Plac Kościuszki (Renoma),78
Na Ostatnim Groszu,79
Pilczycka (Stadion Miejski),80
Plac Strzegomski / Poznańska,81
Kurkowa / Dubois,82
Śrubowa / Strzegomska,83
Komandorska / Sanocka,84
Tyrmanda / Trawowa,85
Joliot-Curie (Uwr),86
Robotnicza / Fabryczna,87
Mościckiego (stacja kolejowa),88
"Grochowa / Jemiołowa,",89
Janiszewskiego (PWr),90
Mińska / stanisławowska,91
Osobowicka - pętla tramwajowa,92
Waniliowa / Cynamonowa,93
Trymanda / Mińska,94
Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),95
Żernicka,96
Fabryczna / Wagonowa,97
Leśnica - pętla tramwajowa,98
Traktatowa (przystanek kolejowy),99
Centrum Handlowe Auchan Bielany,100
Promenady Wrocławskie,101
