Source,Target,Weight,Type
0,1.0,10,Directed
0,13.0,129,Directed
0,14.0,168,Directed
0,15.0,1,Directed
0,16.0,1,Directed
0,19.0,5,Directed
0,20.0,8,Directed
0,24.0,1,Directed
0,26.0,8,Directed
0,27.0,1,Directed
0,28.0,1,Directed
0,29.0,1,Directed
0,31.0,3,Directed
0,32.0,1,Directed
0,42.0,4,Directed
0,46.0,1,Directed
0,50.0,1,Directed
0,51.0,1,Directed
0,57.0,1,Directed
0,62.0,18,Directed
0,79.0,1,Directed
0,90.0,1,Directed
0,91.0,2,Directed
0,98.0,2,Directed
0,99.0,3,Directed
0,109.0,1,Directed
0,113.0,1,Directed
0,116.0,1,Directed
0,126.0,9,Directed
0,127.0,3,Directed
0,130.0,34,Directed
0,131.0,10,Directed
0,132.0,1,Directed
0,134.0,1,Directed
0,136.0,2,Directed
0,141.0,2,Directed
0,142.0,33,Directed
0,143.0,12,Directed
0,151.0,2,Directed
0,152.0,1,Directed
0,153.0,2,Directed
0,154.0,1,Directed
0,155.0,5,Directed
0,162.0,75,Directed
0,171.0,1,Directed
0,173.0,1,Directed
0,174.0,2,Directed
0,176.0,10,Directed
0,177.0,13,Directed
0,178.0,1,Directed
0,179.0,1,Directed
0,183.0,3,Directed
0,192.0,2,Directed
0,193.0,1,Directed
0,196.0,1,Directed
0,197.0,3,Directed
0,199.0,1,Directed
1,0.0,4,Directed
1,3.0,1,Directed
1,5.0,8,Directed
1,8.0,1,Directed
1,10.0,23,Directed
1,12.0,1,Directed
1,13.0,2,Directed
1,14.0,2,Directed
1,15.0,2,Directed
1,16.0,1,Directed
1,17.0,5,Directed
1,18.0,12,Directed
1,19.0,32,Directed
1,20.0,17,Directed
1,23.0,14,Directed
1,24.0,2,Directed
1,26.0,115,Directed
1,27.0,34,Directed
1,28.0,87,Directed
1,29.0,2,Directed
1,30.0,65,Directed
1,31.0,9,Directed
1,32.0,70,Directed
1,34.0,3,Directed
1,36.0,1,Directed
1,41.0,28,Directed
