value,name
0,Aleja Bielany
1,Aleja Hallera - Mielecka
2,Aleja Kromera
3,Bacciarellego
4,Bacciarellego - pętla autobusowa
5,Bardzka - Piękna
6,Bałtycka - Żmigrodzka
7,Berenta - Kasprowicza
8,Bezpieczna - Obornicka
9,Boguszowska - Kosmonautów
10,Borowska (Uniw. Szpital Kliniczny)
11,Buforowa - Vivaldiego
12,Bystrzycka - Idzikowskiego
13,Centrum Handlowe Auchan Bielany
14,Czekoladowa - Wałbrzyska
15,Drobnera - Dubois
16,Drobnera - Plac Bema
17,Drzewieckiego - Dedala
18,Dworzec Główny
19,Dworzec Główny - południe
20,Dyrekcyjna - Borowska (Wroclavia)
21,Fabryczna - Wagonowa
22,Fabryczna  (WSB)
23,Fosa Miejska
24,Gliniana - Gajowa
25,Gorlicka - Litewska
26,Grabiszyńska - Aleja Hallera
27,Grabiszyńska - Magazynierska (Corte Verona)
28,Grabiszyńska - Stalowa
29,Graniczna - Strzegomska
30,Grochowa - Jemiołowa -
31,Grota-Roweckiego - Parafialna
32,Hallera - Odkrywców
33,Hermanowska - Kołobrzeska
34,Hubska - Prudnicka
35,Jagiełły - Dmowskiego
36,Jagodzińska - Buforowa
37,Janiszewskiego (PWr)
38,Jedności Narodowej - Wyszyńskiego
39,Jerzmanowska
40,Joliot-Curie (Uwr)
41,Kamienna - Borowska (Aquapark)
42,Kamienna - Tomaszowska
43,Kamieńskiego - Jutrosińska
44,Karwińska - Opolska
45,Kasprowicza - Syrokomli
46,Kazimierza Wielkiego (Helios)
47,Kiełczowska
48,Klecińska - Duńska
49,Komandorska - Kamienna
50,Komandorska - Sanocka
51,Konduktorska
52,Kosmonautów - Fieldorfa - szpital wojewódzki
53,Kosmonautów - Glinianki - WUWA2
54,Koszarowa - UWr
55,Kozanowska - Pilczycka
56,Kołłątaja - Podwale
57,Kościuszki - Komuny Paryskiej - Zgodna
58,Kościuszki - Pułaskiego
59,Krakowska - Leroy Merlin
60,Kraszewskiego - Trzebnicka
61,Krucza - Mielecka - Stalowa
62,Krzycka - Aleja Karkonoska (Park Południowy)
63,Krzywoustego - Korona
64,Krzywoustego - Rynek Psie Pole
